Exon mobile;Equity;#Shares;100000;
19/01/1981;;5,008;4,961;4,9845
20/01/1981;;4,99225;4,89075;4,89075
21/01/1981;;4,875;4,8205;4,8595
22/01/1981;;4,8595;4,78125;4,80475
23/01/1981;;4,797;4,758;4,758
26/01/1981;;4,78125;4,75;4,76575
27/01/1981;;4,85175;4,75;4,85175
28/01/1981;;4,8595;4,78925;4,78925
29/01/1981;;4,8595;4,78925;4,84375
30/01/1981;;4,90625;4,82825;4,8595
02/02/1981;;4,836;4,72675;4,74225
03/02/1981;;4,711;4,6485;4,711
04/02/1981;;4,7345;4,66425;4,672
05/02/1981;;4,70325;4,672;4,6955
06/02/1981;;4,72675;4,65625;4,672
09/02/1981;;4,64075;4,5705;4,5705
10/02/1981;;4,586;4,53125;4,547
11/02/1981;;4,55475;4,45325;4,45325
12/02/1981;;4,5;4,461;4,49225
13/02/1981;;4,49225;4,4375;4,461
17/02/1981;;4,5705;4,46875;4,5625
18/02/1981;;4,57825;4,53125;4,53925
19/02/1981;;4,53125;4,4375;4,4375
20/02/1981;;4,41425;4,39075;4,40625
23/02/1981;;4,4455;4,375;4,41425
24/02/1981;;4,4455;4,40625;4,41425
25/02/1981;;4,47675;4,3595;4,47675
26/02/1981;;4,49225;4,422;4,45325
27/02/1981;;4,5;4,42975;4,5
02/03/1981;;4,5625;4,46875;4,547
03/03/1981;;4,53925;4,47675;4,4845
04/03/1981;;4,49225;4,45325;4,45325
05/03/1981;;4,4375;4,34375;4,35175
06/03/1981;;4,36725;4,258;4,3125
09/03/1981;;4,39075;4,336;4,3595
10/03/1981;;4,422;4,375;4,3985
11/03/1981;;4,383;4,336;4,3595
12/03/1981;;4,49225;4,36725;4,4845
13/03/1981;;4,49225;4,383;4,383
16/03/1981;;4,4455;4,375;4,422
17/03/1981;;4,4455;4,35175;4,36725
18/03/1981;;4,383;4,32825;4,34375
19/03/1981;;4,336;4,2345;4,25
20/03/1981;;4,3205;4,26575;4,30475
23/03/1981;;4,422;4,3205;4,422
24/03/1981;;4,49225;4,39075;4,422
25/03/1981;;4,4845;4,41425;4,4845
26/03/1981;;4,4845;4,39075;4,39075
27/03/1981;;4,39075;4,3125;4,34375
30/03/1981;;4,35175;4,3125;4,3125
31/03/1981;;4,34375;4,26575;4,28925
01/04/1981;;4,3125;4,2735;4,30475
02/04/1981;;4,297;4,25;4,2735
03/04/1981;;4,28925;4,25;4,258
06/04/1981;;4,26575;4,211;4,258
07/04/1981;;4,2735;4,2345;4,258
08/04/1981;;4,297;4,258;4,297
09/04/1981;;4,28125;4,1875;4,24225
10/04/1981;;4,26575;4,211;4,2345
13/04/1981;;4,211;4,17975;4,1875
14/04/1981;;4,20325;4,16425;4,17975
15/04/1981;;4,21875;4,17975;4,21875
16/04/1981;;4,24225;4,1955;4,22675
20/04/1981;;4,2345;4,17975;4,22675
21/04/1981;;4,2345;4,1875;4,1875
22/04/1981;;4,211;4,172;4,20325
23/04/1981;;4,1875;4,14075;4,14075
24/04/1981;;4,22675;4,14075;4,21875
27/04/1981;;4,28925;4,21875;4,28125
28/04/1981;;4,28925;4,21875;4,28125
29/04/1981;;4,28125;4,2345;4,2735
30/04/1981;;4,30475;4,26575;4,28125
01/05/1981;;4,32825;4,2735;4,297
04/05/1981;;4,28125;4,22675;4,2345
05/05/1981;;4,258;4,20325;4,258
06/05/1981;;4,28125;4,22675;4,25
07/05/1981;;4,28125;4,24225;4,258
08/05/1981;;4,26575;4,22675;4,25
11/05/1981;;4,15625;4,047;4,0625
12/05/1981;;4,0625;4,03125;4,0625
13/05/1981;;4,0705;3,97675;4
14/05/1981;;4,047;3,9845;4,0235
15/05/1981;;4,05475;4,008;4,03125
18/05/1981;;4,1095;4,0625;4,10175
19/05/1981;;4,11725;4,01575;4,05475
20/05/1981;;4,0705;4,03925;4,05475
21/05/1981;;4,0625;4,01575;4,03125
22/05/1981;;4,03925;4;4,0235
26/05/1981;;4,1875;4,03925;4,17975
27/05/1981;;4,2345;4,15625;4,211
28/05/1981;;4,211;4,07825;4,125
29/05/1981;;4,1095;4,03125;4,047
01/06/1981;;4,09375;4,05475;4,0705
02/06/1981;;4,1095;4,047;4,0625
03/06/1981;;4,0625;4;4,0625
04/06/1981;;4,086;4,0625;4,086
05/06/1981;;4,1875;4,09375;4,1875
08/06/1981;;4,20325;4,125;4,1485
09/06/1981;;4,1875;4,11725;4,16425
10/06/1981;;4,25;4,15625;4,2345
11/06/1981;;4,2735;4,25;4,26575
12/06/1981;;4,45325;4,15625;4,20325
15/06/1981;;4,3125;4,25;4,26575
16/06/1981;;4,26575;4,20325;4,2345
17/06/1981;;4,422;4,20325;4,422
18/06/1981;;4,4375;4,32825;4,375
19/06/1981;;4,422;4,32825;4,422
22/06/1981;;4,45325;4,39075;4,422
23/06/1981;;4,39075;4,297;4,375
24/06/1981;;4,375;4,32825;4,34375
25/06/1981;;4,422;4,34375;4,39075
26/06/1981;;4,39075;4,3125;4,34375
29/06/1981;;4,3595;4,297;4,3125
30/06/1981;;4,3125;4,26575;4,28125
01/07/1981;;4,3125;4,2345;4,26575
02/07/1981;;4,3125;4,15625;4,20325
06/07/1981;;4,25;4,14075;4,21875
07/07/1981;;4,3125;4,25;4,297
08/07/1981;;4,375;4,26575;4,32825
09/07/1981;;4,34375;4,26575;4,32825
10/07/1981;;4,32825;4,28125;4,297
13/07/1981;;4,32825;4,297;4,297
14/07/1981;;4,3125;4,25;4,297
15/07/1981;;4,3125;4,25;4,25
16/07/1981;;4,3125;4,25;4,297
17/07/1981;;4,3125;4,26575;4,28125
20/07/1981;;4,28125;4,21875;4,25
21/07/1981;;4,2345;4,172;4,1875
22/07/1981;;4,2345;4,172;4,20325
23/07/1981;;4,297;4,1875;4,28125
24/07/1981;;4,375;4,28125;4,34375
27/07/1981;;4,45325;4,375;4,4375
28/07/1981;;4,45325;4,375;4,39075
29/07/1981;;4,40625;4,3595;4,3595
30/07/1981;;4,39075;4,34375;4,3595
31/07/1981;;4,39075;4,34375;4,375
03/08/1981;;4,39075;4,34375;4,3595
04/08/1981;;4,39075;4,34375;4,39075
05/08/1981;;4,45325;4,39075;4,45325
06/08/1981;;4,5;4,4375;4,45325
07/08/1981;;4,40625;4,3595;4,375
10/08/1981;;4,422;4,3595;4,40625
11/08/1981;;4,45325;4,40625;4,4375
12/08/1981;;4,46875;4,39075;4,39075
13/08/1981;;4,39075;4,3595;4,3595
14/08/1981;;4,40625;4,3595;4,39075
17/08/1981;;4,422;4,34375;4,34375
18/08/1981;;4,39075;4,25;4,34375
19/08/1981;;4,34375;4,26575;4,32825
20/08/1981;;4,3595;4,32825;4,3595
21/08/1981;;4,32825;4,25;4,28125
24/08/1981;;4,25;4,14075;4,15625
25/08/1981;;4,14075;4,07825;4,125
26/08/1981;;4,15625;4,1095;4,14075
27/08/1981;;4,2345;4,1095;4,125
28/08/1981;;4,14075;4,07825;4,125
31/08/1981;;4,172;4,047;4,0625
01/09/1981;;4,125;4,0625;4,125
02/09/1981;;4,15625;4,09375;4,1095
03/09/1981;;4,14075;4,0625;4,09375
04/09/1981;;4,1095;4,01575;4,01575
08/09/1981;;4,03125;3,922;3,95325
09/09/1981;;4,01575;3,875;3,9845
10/09/1981;;4,1095;4;4,1095
11/09/1981;;4,21875;4,0625;4,20325
14/09/1981;;4,15625;4,1095;4,125
15/09/1981;;4,125;3,9845;3,9845
16/09/1981;;4,01575;3,95325;3,9845
17/09/1981;;4,03125;3,95325;3,95325
18/09/1981;;3,95325;3,875;3,89075
21/09/1981;;3,95325;3,875;3,9375
22/09/1981;;3,922;3,8595;3,875
23/09/1981;;3,9375;3,78125;3,8595
24/09/1981;;3,90625;3,75;3,797
25/09/1981;;3,78125;3,71875;3,75
28/09/1981;;3,875;3,70325;3,875
29/09/1981;;3,96875;3,84375;3,90625
30/09/1981;;3,90625;3,8595;3,89075
01/10/1981;;3,89075;3,75;3,84375
02/10/1981;;3,922;3,82825;3,89075
05/10/1981;;3,9375;3,8125;3,84375
06/10/1981;;3,922;3,78125;3,84375
07/10/1981;;3,84375;3,797;3,84375
08/10/1981;;3,8595;3,76575;3,84375
09/10/1981;;3,8595;3,797;3,8125
12/10/1981;;3,8595;3,797;3,8595
13/10/1981;;3,89075;3,8125;3,8125
14/10/1981;;3,84375;3,75;3,75
15/10/1981;;3,797;3,75;3,78125
16/10/1981;;3,797;3,75;3,76575
19/10/1981;;3,797;3,76575;3,797
20/10/1981;;3,84375;3,78125;3,82825
21/10/1981;;3,8595;3,797;3,8125
22/10/1981;;3,82825;3,76575;3,8125
23/10/1981;;3,797;3,75;3,76575
26/10/1981;;3,75;3,6875;3,75
27/10/1981;;3,8125;3,75;3,797
28/10/1981;;3,8595;3,78125;3,82825
29/10/1981;;3,8595;3,76575;3,8125
30/10/1981;;3,82825;3,76575;3,797
02/11/1981;;3,8595;3,78125;3,8125
03/11/1981;;3,9375;3,797;3,922
04/11/1981;;3,95325;3,89075;3,9375
05/11/1981;;3,875;3,797;3,82825
06/11/1981;;3,82825;3,76575;3,76575
09/11/1981;;3,8125;3,76575;3,797
10/11/1981;;3,8125;3,76575;3,797
11/11/1981;;3,797;3,7345;3,75
12/11/1981;;3,82825;3,75;3,82825
13/11/1981;;3,84375;3,797;3,8125
16/11/1981;;3,82825;3,76575;3,82825
17/11/1981;;3,8595;3,8125;3,8595
18/11/1981;;3,922;3,8595;3,875
19/11/1981;;3,90625;3,84375;3,89075
20/11/1981;;3,9845;3,90625;3,95325
23/11/1981;;4,03125;3,95325;3,95325
24/11/1981;;4,03125;3,9845;4,03125
25/11/1981;;4,0625;4,01575;4,047
27/11/1981;;4,1095;4,03125;4,0625
30/11/1981;;4,125;4,0625;4,09375
01/12/1981;;4,14075;4,0625;4,1095
02/12/1981;;4,1095;4,047;4,0625
03/12/1981;;4,07825;4,03125;4,07825
04/12/1981;;4,125;4,0625;4,09375
07/12/1981;;4,1095;4,03125;4,047
08/12/1981;;4,03125;3,9375;3,95325
09/12/1981;;3,9845;3,922;3,96875
10/12/1981;;3,9845;3,9375;3,96875
11/12/1981;;3,96875;3,89075;3,90625
14/12/1981;;3,922;3,8595;3,875
15/12/1981;;3,875;3,82825;3,8595
16/12/1981;;3,8595;3,82825;3,8595
17/12/1981;;3,8595;3,82825;3,84375
18/12/1981;;3,8595;3,8125;3,8595
21/12/1981;;3,89075;3,82825;3,875
22/12/1981;;3,89075;3,84375;3,8595
23/12/1981;;3,875;3,84375;3,8595
24/12/1981;;3,875;3,76575;3,84375
28/12/1981;;3,875;3,82825;3,84375
29/12/1981;;3,875;3,82825;3,875
30/12/1981;;3,89075;3,84375;3,89075
31/12/1981;;3,922;3,875;3,90625
04/01/1982;;3,90625;3,84375;3,8595
05/01/1982;;3,8595;3,78125;3,797
06/01/1982;;3,797;3,75;3,797
07/01/1982;;3,797;3,76575;3,797
08/01/1982;;3,8125;3,76575;3,78125
11/01/1982;;3,8125;3,71875;3,7345
12/01/1982;;3,75;3,70325;3,75
13/01/1982;;3,8125;3,7345;3,76575
14/01/1982;;3,78125;3,75;3,76575
15/01/1982;;3,76575;3,7345;3,75
18/01/1982;;3,8125;3,7345;3,75
19/01/1982;;3,78125;3,71875;3,75
20/01/1982;;3,7345;3,672;3,672
21/01/1982;;3,75;3,6875;3,7345
22/01/1982;;3,75;3,71875;3,75
25/01/1982;;3,7345;3,70325;3,7345
26/01/1982;;3,76575;3,71875;3,7345
27/01/1982;;3,78125;3,7345;3,75
28/01/1982;;3,797;3,75;3,797
29/01/1982;;3,84375;3,75;3,82825
01/02/1982;;3,8125;3,75;3,76575
02/02/1982;;3,797;3,76575;3,797
03/02/1982;;3,7345;3,65625;3,65625
04/02/1982;;3,672;3,57825;3,64075
05/02/1982;;3,65625;3,59375;3,625
08/02/1982;;3,6095;3,547;3,5625
09/02/1982;;3,59375;3,53125;3,57825
10/02/1982;;3,64075;3,51575;3,625
11/02/1982;;3,65625;3,59375;3,6095
12/02/1982;;3,64075;3,59375;3,6095
16/02/1982;;3,6095;3,5625;3,5625
17/02/1982;;3,59375;3,547;3,5625
18/02/1982;;3,57825;3,547;3,5625
19/02/1982;;3,57825;3,53125;3,57825
22/02/1982;;3,59375;3,51575;3,53125
23/02/1982;;3,547;3,5;3,53125
24/02/1982;;3,59375;3,51575;3,57825
25/02/1982;;3,6095;3,547;3,547
26/02/1982;;3,59375;3,53125;3,59375
01/03/1982;;3,6095;3,5625;3,57825
02/03/1982;;3,6095;3,547;3,547
03/03/1982;;3,5625;3,46875;3,4845
04/03/1982;;3,5;3,45325;3,46875
05/03/1982;;3,53125;3,422;3,51575
08/03/1982;;3,547;3,46875;3,51575
09/03/1982;;3,59375;3,4845;3,57825
10/03/1982;;3,65625;3,5625;3,625
11/03/1982;;3,672;3,625;3,65625
12/03/1982;;3,65625;3,6095;3,625
15/03/1982;;3,70325;3,59375;3,672
16/03/1982;;3,70325;3,625;3,64075
17/03/1982;;3,64075;3,6095;3,625
18/03/1982;;3,65625;3,6095;3,64075
19/03/1982;;3,64075;3,57825;3,59375
22/03/1982;;3,625;3,59375;3,6095
23/03/1982;;3,625;3,59375;3,59375
24/03/1982;;3,625;3,59375;3,59375
25/03/1982;;3,6095;3,547;3,6095
26/03/1982;;3,6095;3,5;3,53125
29/03/1982;;3,53125;3,4845;3,53125
30/03/1982;;3,5625;3,51575;3,547
31/03/1982;;3,547;3,5;3,51575
01/04/1982;;3,5625;3,5;3,5625
02/04/1982;;3,6095;3,547;3,59375
05/04/1982;;3,59375;3,53125;3,547
06/04/1982;;3,5625;3,53125;3,547
07/04/1982;;3,57825;3,53125;3,5625
08/04/1982;;3,57825;3,547;3,5625
12/04/1982;;3,57825;3,53125;3,5625
13/04/1982;;3,57825;3,547;3,5625
14/04/1982;;3,57825;3,51575;3,53125
15/04/1982;;3,5625;3,51575;3,53125
16/04/1982;;3,547;3,5;3,53125
19/04/1982;;3,547;3,5;3,51575
20/04/1982;;3,51575;3,4845;3,5
21/04/1982;;3,4845;3,4375;3,46875
22/04/1982;;3,51575;3,45325;3,51575
23/04/1982;;3,59375;3,53125;3,59375
26/04/1982;;3,59375;3,547;3,5625
27/04/1982;;3,57825;3,53125;3,547
28/04/1982;;3,5625;3,53125;3,5625
29/04/1982;;3,59375;3,53125;3,547
30/04/1982;;3,5625;3,51575;3,53125
03/05/1982;;3,5625;3,4845;3,547
04/05/1982;;3,59375;3,547;3,57825
05/05/1982;;3,6095;3,57825;3,59375
06/05/1982;;3,70325;3,625;3,6875
07/05/1982;;3,6875;3,6095;3,625
10/05/1982;;3,65625;3,6095;3,64075
11/05/1982;;3,70325;3,6095;3,6875
12/05/1982;;3,70325;3,64075;3,672
13/05/1982;;3,6875;3,6095;3,625
14/05/1982;;3,65625;3,59375;3,625
17/05/1982;;3,625;3,57825;3,59375
18/05/1982;;3,57825;3,547;3,547
19/05/1982;;3,57825;3,53125;3,547
20/05/1982;;3,5625;3,53125;3,53125
21/05/1982;;3,5625;3,51575;3,547
24/05/1982;;3,547;3,51575;3,53125
25/05/1982;;3,5625;3,51575;3,53125
26/05/1982;;3,53125;3,4845;3,4845
27/05/1982;;3,51575;3,46875;3,51575
28/05/1982;;3,51575;3,4845;3,5
01/06/1982;;3,53125;3,5;3,5
02/06/1982;;3,53125;3,5;3,5
03/06/1982;;3,547;3,5;3,53125
04/06/1982;;3,53125;3,4845;3,4845
07/06/1982;;3,4845;3,45325;3,4845
08/06/1982;;3,5;3,46875;3,4845
09/06/1982;;3,5;3,4375;3,4845
10/06/1982;;3,51575;3,45325;3,5
11/06/1982;;3,5625;3,5;3,51575
14/06/1982;;3,51575;3,45325;3,46875
15/06/1982;;3,46875;3,422;3,4375
16/06/1982;;3,46875;3,375;3,39075
17/06/1982;;3,40625;3,3595;3,39075
18/06/1982;;3,40625;3,3595;3,40625
21/06/1982;;3,46875;3,375;3,40625
22/06/1982;;3,4375;3,375;3,40625
23/06/1982;;3,4375;3,375;3,4375
24/06/1982;;3,4845;3,39075;3,422
25/06/1982;;3,4375;3,40625;3,422
28/06/1982;;3,46875;3,39075;3,45325
29/06/1982;;3,51575;3,4375;3,5
30/06/1982;;3,547;3,46875;3,46875
01/07/1982;;3,4845;3,40625;3,40625
02/07/1982;;3,40625;3,375;3,39075
06/07/1982;;3,39075;3,34375;3,3595
07/07/1982;;3,375;3,32825;3,375
08/07/1982;;3,375;3,28125;3,32825
09/07/1982;;3,375;3,32825;3,3595
12/07/1982;;3,375;3,28125;3,3125
13/07/1982;;3,34375;3,297;3,3125
14/07/1982;;3,39075;3,26575;3,3125
15/07/1982;;3,34375;3,297;3,32825
16/07/1982;;3,3595;3,297;3,3595
19/07/1982;;3,39075;3,32825;3,32825
20/07/1982;;3,3595;3,3125;3,32825
21/07/1982;;3,3595;3,3125;3,32825
22/07/1982;;3,375;3,3125;3,375
23/07/1982;;3,375;3,28125;3,3125
26/07/1982;;3,34375;3,3125;3,34375
27/07/1982;;3,3595;3,3125;3,32825
28/07/1982;;3,32825;3,26575;3,28125
29/07/1982;;3,297;3,25;3,28125
30/07/1982;;3,297;3,21875;3,25
02/08/1982;;3,32825;3,25;3,32825
03/08/1982;;3,34375;3,297;3,3125
04/08/1982;;3,3125;3,25;3,26575
05/08/1982;;3,28125;3,2345;3,28125
06/08/1982;;3,34375;3,25;3,28125
09/08/1982;;3,1875;3,1095;3,1875
10/08/1982;;3,20325;3,14075;3,172
11/08/1982;;3,172;3,14075;3,15625
12/08/1982;;3,172;3,125;3,125
13/08/1982;;3,172;3,1095;3,172
16/08/1982;;3,2345;3,15625;3,15625
17/08/1982;;3,34375;3,172;3,34375
18/08/1982;;3,46875;3,34375;3,3595
19/08/1982;;3,45325;3,3595;3,39075
20/08/1982;;3,4375;3,3595;3,422
23/08/1982;;3,51575;3,39075;3,51575
24/08/1982;;3,547;3,4375;3,46875
25/08/1982;;3,672;3,46875;3,625
26/08/1982;;3,65625;3,5625;3,625
27/08/1982;;3,6095;3,51575;3,547
30/08/1982;;3,547;3,422;3,51575
31/08/1982;;3,59375;3,5;3,5625
01/09/1982;;3,59375;3,4375;3,46875
02/09/1982;;3,53125;3,4375;3,51575
03/09/1982;;3,65625;3,57825;3,6095
07/09/1982;;3,64075;3,5625;3,6095
08/09/1982;;3,6875;3,57825;3,672
09/09/1982;;3,7345;3,672;3,6875
